USER               PID  %CPU %MEM      VSZ    RSS   TT  STAT STARTED      TIME COMMAND
namananand        6298   0.0  0.0 435366368   1296   ??  Ss    8:26PM   0:00.01 /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
namananand        6297   0.0  0.1 435371792   5008   ??  S     8:26PM   0:00.38 /usr/libexec/GamePolicyAgent
root              6296   0.0  0.0 435339888   2384   ??  Ss    8:26PM   0:00.15 /usr/libexec/containermanagerd_system --runmode=privileged --user-container-mode=current --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
root              6291   0.0  0.0 435307216   3536   ??  Ss    8:26PM   0:00.22 /System/Library/PrivateFrameworks/Ecosystem.framework/Support/ecosystemd
namananand        6290   0.0  0.1 435353456   4464   ??  S     8:26PM   0:00.20 /usr/libexec/neagent
namananand        6289   0.0  0.1 435341648   4736   ??  S     8:26PM   0:00.41 /System/Library/Frameworks/Translation.framework/translationd
namananand        6286   0.0  0.0 507991008   2016   ??  Ss    8:26PM   0:15.21 /System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent
namananand        6285   0.0  0.0 435318848   3088   ??  S     8:26PM   0:00.10 /usr/libexec/swcd
root              6284   0.0  0.0 435340480   2800   ??  Ss    8:26PM   0:00.12 /System/Library/PrivateFrameworks/EcosystemAnalytics.framework/Support/ecosystemanalyticsd
namananand        6282   0.0  0.0 435301104   1984   ??  S     8:26PM   0:00.04 /usr/libexec/spindump_agent
root              6281   0.0  0.0 436036352   3856   ??  Ss    8:26PM   0:04.49 /usr/sbin/spindump
namananand        6280   0.0  0.0 435305440   2592   ??  S     8:26PM   0:00.12 /System/Library/Frameworks/AudioToolbox.framework/AudioComponentRegistrar
namananand        6279   0.0  0.0 435305200   1776   ??  S     8:26PM   0:00.06 /System/Library/Frameworks/MediaAccessibility.framework/Versions/A/XPCServices/com.apple.accessibility.mediaaccessibilityd.xpc/Contents/MacOS/com.apple.accessibility.mediaaccessibilityd
namananand        6278   0.0  0.0 435354048   4048   ??  S     8:26PM   0:00.75 /System/Cryptexes/App/usr/libexec/SafariNotificationAgent
root              6268   0.0  0.0 435301344   1328   ??  Ss    8:25PM   0:00.04 /usr/libexec/online-auth-agent
root              6262   0.0  0.0 435341824   3504   ??  Ss    8:25PM   0:00.41 /usr/libexec/ospredictiond
namananand        6238   0.0  0.0 435305520   3600   ??  S     8:24PM   0:00.18 /usr/libexec/gamecontrolleragentd
_gamecontrollerd  6237   0.0  0.0 435306048   3984   ??  Ss    8:24PM   0:00.22 /usr/libexec/gamecontrollerd
namananand        6236   0.0  0.0 435305984   2592   ??  S     8:24PM   0:00.11 /usr/libexec/assessmentagent
namananand        6235   0.0  0.0 435301808   2736   ??  S     8:24PM   0:00.10 /usr/libexec/feedbackd
namananand        6195   0.0  0.1 435675680   5664   ??  Ss    8:22PM   0:01.57 /System/Library/CoreServices/Dock.app/Contents/XPCServices/DockHelper.xpc/Contents/MacOS/DockHelper
root              6139   0.0  0.0 435448656   2960   ??  S     8:19PM   0:00.23 /System/Library/PrivateFrameworks/ContextKit.framework/Versions/A/XPCServices/ContextService.xpc/Contents/MacOS/ContextService
root              6137   0.0  0.0 435352736   2624   ??  S     8:19PM   0:00.14 /System/Library/PrivateFrameworks/Categories.framework/Versions/A/XPCServices/CategoriesService.xpc/Contents/MacOS/CategoriesService
namananand        6116   0.0  0.1 435560032   7088   ??  S     8:18PM   0:00.98 /System/Library/PrivateFrameworks/UniversalAccess.framework/Versions/A/Resources/AXVisualSupportAgent.app/Contents/MacOS/AXVisualSupportAgent launchd -s
